UNITID,C100_4,C100_L4,C150_4,C150_L4,C150_4_POOLED,C150_L4_POOLED,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,C150_4_WHITENH,C150_4_BLACKNH,C150_4_API,C150_4_AIANOLD,C150_4_HISPOLD,C150_L4_WHITE,C150_L4_BLACK,C150_L4_HISP,C150_L4_ASIAN,C150_L4_AIAN,C150_L4_NHPI,C150_L4_2MOR,C150_L4_NRA,C150_L4_UNKN,C150_L4_WHITENH,C150_L4_BLACKNH,C150_L4_API,C150_L4_AIANOLD,C150_L4_HISPOLD,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25ABV,COMP_ORIG_YR2_RT,LO_INC_COMP_ORIG_YR2_RT,MD_INC_COMP_ORIG_YR2_RT,HI_INC_COMP_ORIG_YR2_RT,DEP_COMP_ORIG_YR2_RT,IND_COMP_ORIG_YR2_RT,FEMALE_COMP_ORIG_YR2_RT,MALE_COMP_ORIG_YR2_RT,LOAN_COMP_ORIG_YR2_RT,NOLOAN_COMP_ORIG_YR2_RT,FIRSTGEN_COMP_ORIG_YR2_RT,NOT1STGEN_COMP_ORIG_YR2_RT,COMP_ORIG_YR3_RT,LO_INC_COMP_ORIG_YR3_RT,MD_INC_COMP_ORIG_YR3_RT,HI_INC_COMP_ORIG_YR3_RT,DEP_COMP_ORIG_YR3_RT,IND_COMP_ORIG_YR3_RT,FEMALE_COMP_ORIG_YR3_RT,MALE_COMP_ORIG_YR3_RT,LOAN_COMP_ORIG_YR3_RT,NOLOAN_COMP_ORIG_YR3_RT,FIRSTGEN_COMP_ORIG_YR3_RT,NOT1STGEN_COMP_ORIG_YR3_RT,COMP_ORIG_YR4_RT,LO_INC_COMP_ORIG_YR4_RT,MD_INC_COMP_ORIG_YR4_RT,HI_INC_COMP_ORIG_YR4_RT,DEP_COMP_ORIG_YR4_RT,IND_COMP_ORIG_YR4_RT,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT,LOAN_COMP_ORIG_YR4_RT,NOLOAN_COMP_ORIG_YR4_RT,FIRSTGEN_COMP_ORIG_YR4_RT,NOT1STGEN_COMP_ORIG_YR4_RT,COMP_ORIG_YR6_RT,LO_INC_COMP_ORIG_YR6_RT,MD_INC_COMP_ORIG_YR6_RT,HI_INC_COMP_ORIG_YR6_RT,DEP_COMP_ORIG_YR6_RT,IND_COMP_ORIG_YR6_RT,FEMALE_COMP_ORIG_YR6_RT,MALE_COMP_ORIG_YR6_RT,LOAN_COMP_ORIG_YR6_RT,NOLOAN_COMP_ORIG_YR6_RT,FIRSTGEN_COMP_ORIG_YR6_RT,NOT1STGEN_COMP_ORIG_YR6_RT,COMP_ORIG_YR8_RT,COMP_4YR_TRANS_YR8_RT,LO_INC_COMP_ORIG_YR8_RT,MD_INC_COMP_ORIG_YR8_RT,HI_INC_COMP_ORIG_YR8_RT,DEP_COMP_ORIG_YR8_RT,IND_COMP_ORIG_YR8_RT,FEMALE_COMP_ORIG_YR8_RT,MALE_COMP_ORIG_YR8_RT,LOAN_COMP_ORIG_YR8_RT,NOLOAN_COMP_ORIG_YR8_RT,FIRSTGEN_COMP_ORIG_YR8_RT,NOT1STGEN_COMP_ORIG_YR8_RT
100654,0.1102,,0.3525,,0.32451962616821994,,0.1429,0.3581,0.0,,0.0,,,0.0833,,,,,,,,,,,,,,,,,,,,,0.6595,,0.3333,,0.8284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100663,0.3258,,0.5554,,0.54610480182926,,0.5506,0.5221,0.6071,0.7143,0.375,1.0,1.0,0.7222,0.4717,,,,,,,,,,,,,,,,,,,,0.8288,,0.575,,0.5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100690,0.0,,0.2222,,0.29411176470587996,,,0.1667,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,0.0,,0.6667,,0.7795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100706,0.1516,,0.4614,,0.47240649606298996,,0.4792,0.3028,0.5,0.65,0.4286,,0.5833,0.5263,0.5,,,,,,,,,,,,,,,,,,,,0.7696,,0.6154,,0.4596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100724,0.0752,,0.2632,,0.25740496083549996,,0.4444,0.2599,0.0,0.0,0.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,0.5725,,0.28,,0.7554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100751,0.3877,,0.6566,,0.66125080978088,,0.6652,0.6016,0.6321,0.5909,0.5652,,,0.6667,,,,,,,,,,,,,,,,,,,,,0.867,,0.6,,0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100760,,0.1022,,0.1397,,0.11515537679932,,,,,,,,,,,,,,,0.1608,0.0925,0.1429,1.0,0.0,0.0,,0.0,0.0,,,,,,,0.4915,,0.5055,0.3977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100830,0.0863,,0.2194,,0.24136439454691,,0.2623,0.15,0.0,0.3333,0.25,,,0.4444,0.1538,,,,,,,,,,,,,,,,,,,,0.652,,0.3659,,0.5803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100858,0.4225,,0.7086,,0.69354208066896,,0.7203,0.6044,0.6458,0.6622,0.7143,,,0.5,0.6176,,,,,,,,,,,,,,,,,,,,0.9052,,0.6,,0.3494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100937,0.5622,,0.6422,,0.6307127919911,,0.6685,0.4,0.375,0.7273,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,0.8371,,,,0.4809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101028,,0.0256,,0.1186,,0.12587551020408,,,,,,,,,,,,,,,0.1699,0.0694,0.1,0.0,,,0.0,,0.0,,,,,,,0.5315,,0.2955,0.2537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101073,0.0536,,0.25,,0.23123125,,0.0,0.242,0.0,,,,,0.75,,,,,,,,,,,,,,,,,,,,,0.5238,,0.5,,0.9333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101116,0.0476,,0.09300000000000001,,0.08507872340424999,,0.2353,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.2857,,0.7129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101143,,0.0615,,0.0881,,0.10909603174603,,,,,,,,,,,,,,,0.0967,0.0513,0.1111,0.1667,0.1429,,0.1429,0.0,0.0,,,,,,,0.5029,,0.3649,0.2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101161,,0.07400000000000001,,0.1093,,0.10416259620318,,,,,,,,,,,,,,,0.1075,0.1141,0.1364,0.0,0.0769,0.0,0.1111,,0.0,,,,,,,0.603,,0.3524,0.3741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101189,0.1193,,0.3073,,0.26223189823874,,0.3464,0.1837,0.3333,0.0,0.3333,,0.0,0.6,0.0,,,,,,,,,,,,,,,,,,,,0.6028,,0.3333,,0.7253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101240,,0.0609,,0.1283,,0.13679900103341,,,,,,,,,,,,,,,0.134,0.1093,0.1778,0.2,0.0,0.0,0.0968,0.0,0.3333,,,,,,,0.5258,,0.4163,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101277,,0.375,,0.7321,,0.73330888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8205,,,0.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101286,,0.034,,0.1481,,0.14854555844154999,,,,,,,,,,,,,,,0.1664,0.1086,0.1538,0.5,,,0.2143,,0.0,,,,,,,0.5631,,0.4608,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101295,,0.114,,0.2358,,0.21354275618373997,,,,,,,,,,,,,,,0.2433,0.1833,0.2069,0.0,0.1667,,,,0.1667,,,,,,,0.6329,,0.4822,0.4192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101301,,0.0851,,0.2021,,0.22628647281921,,,,,,,,,,,,,,,0.3067,0.1785,,,,0.0,,,,,,,,,,0.6092,,0.4054,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
